date,open,high,low,close
2025-05-30 00:00:00,3316.37988,3318.90991,3309.6001,3312.6499
2025-05-30 01:00:00,3312.63989,3322.76001,3308.19995,3310.02002
2025-05-30 02:00:00,3309.83008,3312.29004,3295.07007,3297.32007
2025-05-30 03:00:00,3297.33008,3302.3999,3291.38989,3294.59009
2025-05-30 04:00:00,3294.58008,3296.6001,3291.56006,3296.41992
2025-05-30 05:00:00,3296.3999,3305.13989,3290.36011,3303.98999
2025-05-30 06:00:00,3303.96997,3304.37988,3290.54004,3301.94995
2025-05-30 07:00:00,3301.81006,3301.81006,3287.51001,3295.09009
2025-05-30 08:00:00,3294.94995,3299.33008,3291.73999,3295.8501
2025-05-30 09:00:00,3295.84009,3299.30005,3292.73999,3295.69995
2025-05-30 10:00:00,3295.69995,3300.68994,3292.63989,3295.31006
2025-05-30 11:00:00,3295.30005,3297.34009,3288.69995,3294.09009
2025-05-30 12:00:00,3294.1001,3306.86011,3283.12012,3304.07007
2025-05-30 13:00:00,3304.01001,3308.40991,3275.3501,3276.62012
2025-05-30 14:00:00,3276.61011,3287.30005,3271.71997,3282.20996
2025-05-30 15:00:00,3282.3999,3292.82007,3276.12012,3288.71997
2025-05-30 16:00:00,3288.70996,3295.78003,3284.01001,3293.44995
2025-05-30 17:00:00,3293.43994,3294.88989,3289.87012,3291.03003
2025-05-30 18:00:00,3291.05005,3295.11011,3291.04004,3293.92993
2025-05-30 19:00:00,3293.88989,3295.13989,3291.79004,3294.87988
2025-05-30 20:00:00,3294.88989,3295.76001,3288.71997,3289.36011
2025-05-30 21:00:00,3289.82007,3292.16992,3285.08008,3289.79004
2025-06-01 22:00:00,3289.81006,3314.98999,3289.81006,3313.17993
2025-06-01 23:00:00,3313.13989,3316.78003,3309.28003,3310.42993
2025-06-02 00:00:00,3311.77002,3314.98999,3303.38989,3311.42993
2025-06-02 01:00:00,3311.43994,3313.8501,3301.56006,3303.6499
2025-06-02 02:00:00,3303.63989,3311.61011,3303.3999,3307.40991
2025-06-02 03:00:00,3307.41992,3308.96997,3303.48999,3308.71997
2025-06-02 04:00:00,3308.83008,3318.32007,3308.81006,3313.90991
2025-06-02 05:00:00,3313.8999,3325.78003,3313.88989,3323.82007
2025-06-02 06:00:00,3323.83008,3345.40991,3323.83008,3344.51001
2025-06-02 07:00:00,3344.52002,3359.05005,3343.18994,3352.68994
2025-06-02 08:00:00,3352.63989,3356.3999,3350.1001,3352.18994
2025-06-02 09:00:00,3352.17993,3352.52002,3344.62012,3348.40991
2025-06-02 10:00:00,3348.38989,3351.41992,3344.78003,3348.70996
2025-06-02 11:00:00,3348.71997,3360.1001,3346.13989,3356.3999
2025-06-02 12:00:00,3356.37988,3363.68994,3354.12012,3355.53003
2025-06-02 13:00:00,3355.53003,3376.28003,3350.6001,3371.02002
2025-06-02 14:00:00,3371.57007,3378.87012,3367.80005,3376.15991
2025-06-02 15:00:00,3376.09009,3378.87012,3369.93994,3374.42993
2025-06-02 16:00:00,3374.3999,3379.27002,3369.36011,3371.80005
2025-06-02 17:00:00,3371.76001,3376.05005,3371.38989,3374.40991
2025-06-02 18:00:00,3374.45996,3380.13989,3370.88989,3379.32007
2025-06-02 19:00:00,3379.32007,3382.48999,3377.94995,3381.67993
2025-06-02 20:00:00,3381.66992,3382.98999,3378.53003,3381.59009
2025-06-02 21:00:00,3381.37012,3381.84009,3378.97998,3380.90991
2025-06-02 22:00:00,3380.92993,3391.56006,3380.92993,3390.06006
2025-06-02 23:00:00,3390.12012,3392.23999,3383.27002,3386.88989
