date,open,high,low,close
2024-10-15,2648.03003,2668.9751,2638.15503,2662.62988
2024-10-16,2662.16504,2685.43994,2658.81006,2673.85986
2024-10-17,2673.94995,2696.81299,2673.19507,2693.02002
2024-10-18,2692.37012,2722.59497,2692.28516,2722.23486
2024-10-21,2720.3999,2740.59497,2714.26001,2719.6001
2024-10-22,2718.97998,2749.03003,2718.97998,2748.93506
2024-10-23,2747.82007,2758.51221,2708.72998,2715.53003
2024-10-24,2715.6001,2743.34668,2715.50488,2736.25
2024-10-25,2735.65991,2747.81982,2717.08008,2746.55493
2024-10-28,2730.91992,2746.03516,2724.75488,2742.45996
2024-10-29,2741.6499,2774.95996,2739.85498,2774.80005
2024-10-30,2773.375,2790.08496,2770.95996,2787.54004
2024-10-31,2787.125,2790.16016,2731.63232,2743.98999
2024-11-01,2744.22998,2762.32007,2733.17993,2736.44995
2024-11-04,2746.11011,2748.28003,2730.34009,2736.65991
2024-11-05,2742.77002,2750.1001,2724.78003,2744.32007
2024-11-06,2744.30005,2749.78003,2652.51001,2659.22998
2024-11-07,2659.21997,2710.36011,2643.42993,2706.47998
2024-11-08,2706.44995,2710.53003,2680.34009,2684.51001
2024-11-11,2683.92993,2689.80005,2610.61011,2619.30005
2024-11-12,2617.86011,2627.26001,2589.76001,2598.30005
2024-11-13,2598.42993,2618.93994,2572.5,2572.78003
2024-11-14,2581.12012,2584.28003,2536.82007,2564.72998
2024-11-15,2564.71997,2576.16992,2554.54004,2563.26001
2024-11-18,2577.56006,2615.15991,2563.62012,2611.92993
2024-11-19,2611.92993,2639.55005,2610.32007,2632.12988
2024-11-20,2631.88989,2655.52002,2618.8999,2650.48999
2024-11-21,2650.47998,2673.63989,2634.97998,2669.84009
2024-11-22,2669.78003,2716.40991,2667.93994,2716.26001
2024-11-25,2715.1499,2721.42993,2615.65991,2625.1499
2024-11-26,2623.21997,2642.07007,2605.26001,2632.46997
2024-11-27,2630.73999,2658.34009,2627.12988,2636.82007
2024-11-28,2637.59009,2649.72998,2620.95996,2636.44995
2024-11-29,2636.17993,2666.41992,2615.57007,2649.37012
2024-12-02,2650.0,2666.38989,2621.92993,2639.07007
2024-12-03,2640.69995,2655.71997,2634.11011,2643.65991
2024-12-04,2643.72998,2657.18994,2632.44995,2650.18994
2024-12-05,2648.69995,2655.6499,2623.57007,2631.97998
2024-12-06,2631.97998,2645.76001,2613.52002,2633.55005
2024-12-09,2642.03003,2676.47998,2627.6001,2660.3999
2024-12-10,2663.80005,2695.65991,2658.05005,2694.05005
2024-12-11,2693.88989,2721.25,2675.48999,2718.32007
2024-12-12,2718.31006,2726.26001,2675.19995,2681.03003
2024-12-13,2681.05005,2692.86011,2646.15991,2647.73999
2024-12-16,2648.84009,2691.6001,2643.61011,2652.93994
2024-12-17,2652.93994,2658.69995,2633.11011,2646.32007
2024-12-18,2645.87012,2651.81006,2583.8501,2585.11011
2024-12-19,2585.11011,2626.51001,2579.42993,2594.11011
2024-12-20,2594.11011,2633.27002,2587.54004,2633.27002
2024-12-23,2628.22998,2633.34009,2607.90991,2612.36011
2024-12-24,2610.46997,2630.31006,2608.22998,2618.1499
2024-12-25,,,,
2024-12-26,2620.59009,2639.17993,2614.40991,2633.0
2024-12-27,2634.51001,2638.3999,2611.69995,2632.32007
2024-12-30,2617.44995,2628.21997,2596.13989,2607.07007
2024-12-31,2606.1001,2627.6001,2602.67993,2624.55005
2025-01-01,,,,
2025-01-02,2604.51001,2660.55005,2603.57007,2657.06006
2025-01-03,2653.46997,2665.32007,2636.82007,2640.21997
2025-01-06,2648.01001,2649.56006,2614.78003,2641.44995
2025-01-07,2644.36011,2664.37012,2632.67993,2652.78003
2025-01-08,2652.77002,2670.06006,2645.31006,2662.25
2025-01-09,2662.27002,2678.48999,2652.88989,2667.26001
2025-01-10,2667.48999,2698.0,2664.03003,2690.40991
2025-01-13,2690.13989,2703.82007,2656.88989,2663.21997
2025-01-14,2663.21997,2678.28003,2659.93994,2670.67993
2025-01-15,2668.76001,2697.57007,2668.76001,2692.76001
2025-01-16,2694.73999,2724.79004,2690.06006,2715.86011
2025-01-17,2714.77002,2717.42993,2699.23999,2702.53003
2025-01-20,2701.61011,2713.86011,2689.42993,2708.6001
2025-01-21,2708.61011,2746.07007,2702.96997,2744.37988
2025-01-22,2745.81006,2763.47998,2742.01001,2757.32007
2025-01-23,2757.32007,2758.97998,2735.88989,2754.45996
2025-01-24,2755.27002,2786.02002,2752.67993,2770.78003
2025-01-27,2778.3999,2778.86011,2730.51001,2740.23999
2025-01-28,2739.21997,2765.1499,2733.1499,2761.87012
2025-01-29,2763.42993,2766.30005,2744.82007,2759.23999
2025-01-30,2759.68994,2798.55005,2757.30005,2791.62012
2025-01-31,2788.88989,2817.25,2788.88989,2797.11011
2025-02-03,2814.37012,2830.69995,2772.26001,2816.22998
